"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs","",""
"1386662594920988676","Bayern pode pagar R$ 165 milhões para contratar técnico do RB Leipizig, diz revista https://t.co/XgVn5HRg1k https://t.co/7vSofudLZr","ge","geglobo","2021-04-26T12:45:00.000Z","Mon Apr 26 12:45:00 +0000 2021","77","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/2R3lpg8 ","0","0","photo","https://pbs.twimg.com/media/Ez5kPhpWYAQY-Zo.jpg","",""
"1386658823365005315","Análise

Corinthians vence, dá alívio a Mancini e vê rapidez na evolução de jovens defensores

Raul Gustavo, João Victor e Piton foram os principais destaques da vitória contra o Santos https://t.co/rjDXYjgU6p https://t.co/EWZacss3Eb","ge","geglobo","2021-04-26T12:30:01.000Z","Mon Apr 26 12:30:01 +0000 2021","95","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3nn5FjR ","0","0","photo","https://pbs.twimg.com/media/Ez5ZyIcX0AQ89zD.jpg","",""
"1386656317985669126","Ariel Holan pede demissão do Santos https://t.co/nmzEB8TUBg https://t.co/W40RMRWeRC","ge","geglobo","2021-04-26T12:20:03.000Z","Mon Apr 26 12:20:03 +0000 2021","1626","46","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3vnRs95 ","0","0","photo","https://pbs.twimg.com/media/Ez5kj_FXIAI4OrU.jpg","",""
"1386655045295484929","Novos campos, iluminação e sintético no CT

Flamengo amplia estrutura e conforto para 2021

Clube ajusta protocolos de viagem com quartos individuais e maior privacidade para jogadores, que vivem cenário luxuoso no Ninho do Urubu https://t.co/pRNZEE6BGM https://t.co/H2DpUtUCcB","ge","geglobo","2021-04-26T12:15:00.000Z","Mon Apr 26 12:15:00 +0000 2021","309","26","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3no7nBv ","0","0","photo","https://pbs.twimg.com/media/Ez5Yr8SXsAQA2XT.jpg","",""
"1386651271944232960","Análise

Como o Paulistão pode ser útil ao Palmeiras na Libertadores

Verdão fica mais longe da vaga no torneio estadual, mas tem time mais inteiro para o que vale para o clube agora: o confronto contra o Independiente del Valle https://t.co/HB4BemtGw0 https://t.co/w7tT8C7cvf","ge","geglobo","2021-04-26T12:00:00.000Z","Mon Apr 26 12:00:00 +0000 2021","93","2","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/32QmgDe ","0","0","photo","https://pbs.twimg.com/media/Ez5XqgGX0AA1626.jpg","",""
"1386647495942361088","Uriah Hall cita lesão de Anderson ao ver Weidman se machucar: ""Primeira coisa que pensei""

Adversário de ""All American"" no UFC 261, jamaicano diz que só reparou na gravidade da situação quando o oponente caminhou para trás https://t.co/obVl6JC9Nc https://t.co/QdArz2yPux","ge","geglobo","2021-04-26T11:45:00.000Z","Mon Apr 26 11:45:00 +0000 2021","82","1","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3aHpEVp ","0","0","photo","https://pbs.twimg.com/media/Ez5WmRwXoAQxLwa.jpg","",""
"1386643722868117505","Análise

Cotia vira alternativa segura para Crespo no São Paulo diante de calendário caótico

Jovens jogadores se destacaram mais uma vez e comandaram vitória sobre o Ituano https://t.co/NQaSuE56ZA https://t.co/YhGI2Uc56Z","ge","geglobo","2021-04-26T11:30:00.000Z","Mon Apr 26 11:30:00 +0000 2021","303","8","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3vl8epo ","0","0","photo","https://pbs.twimg.com/media/Ez5V0F5WYAAWT2W.jpg","",""
"1386639543525429248","Viralizou

Treta entre Hulk e Cuca, desentendimento de Guto com jornalista e provocação de Gabigol

Jogos do final de semana ainda tiveram confusão generalizada com seis expulsos no catarinense e mais... https://t.co/L6986eeCLT https://t.co/KJlnVSWfaV","ge","geglobo","2021-04-26T11:13:24.000Z","Mon Apr 26 11:13:24 +0000 2021","150","2","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/3vl80yy ","0","0","photo","https://pbs.twimg.com/media/Ez5VLzpX0AchsmJ.jpg","",""
"1386520039747211266","Pescaria?

Fiel zoa nas redes sociais após vitória do Corinthians em clássico contra o Santos: ""Mó paz"" https://t.co/xi6u0Y4SoS https://t.co/DfYiSYypXJ","ge","geglobo","2021-04-26T03:18:32.000Z","Mon Apr 26 03:18:32 +0000 2021","373","7","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/32PodzO ","0","0","photo","https://pbs.twimg.com/media/Ez3omkaXMAEV1hh.jpg","",""
"1386517912945676292","São Paulo vence o Ituano e chega a sete vitórias seguidas https://t.co/Z88BQ3Ak49 https://t.co/VgImzOOaQr","ge","geglobo","2021-04-26T03:10:05.000Z","Mon Apr 26 03:10:05 +0000 2021","1204","53","pt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tweet","http://glo.bo/2QV2Zy3 ","0","0","photo","https://pbs.twimg.com/media/Ez3mm2zWYAAlPJJ.jpg","",""
